2025-11-26 18:21:09,292 INFO    MainThread:1302284 [wandb_setup.py:_flush():80] Current SDK version is 0.23.0
2025-11-26 18:21:09,293 INFO    MainThread:1302284 [wandb_setup.py:_flush():80] Configure stats pid to 1302284
2025-11-26 18:21:09,293 INFO    MainThread:1302284 [wandb_setup.py:_flush():80] Loading settings from /shared/ssd_14T/home/leopolddas/.config/wandb/settings
2025-11-26 18:21:09,293 INFO    MainThread:1302284 [wandb_setup.py:_flush():80] Loading settings from /shared/ssd_14T/home/leopolddas/HAR_Lab_Initiative_AI/wandb/settings
2025-11-26 18:21:09,293 INFO    MainThread:1302284 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-11-26 18:21:09,293 INFO    MainThread:1302284 [wandb_init.py:setup_run_log_directory():713] Logging user logs to /shared/ssd_14T/home/leopolddas/HAR_Lab_Initiative_AI/wandb/run-20251126_182109-hdqdqyzl/logs/debug.log
2025-11-26 18:21:09,293 INFO    MainThread:1302284 [wandb_init.py:setup_run_log_directory():714] Logging internal logs to /shared/ssd_14T/home/leopolddas/HAR_Lab_Initiative_AI/wandb/run-20251126_182109-hdqdqyzl/logs/debug-internal.log
2025-11-26 18:21:09,293 INFO    MainThread:1302284 [wandb_init.py:init():840] calling init triggers
2025-11-26 18:21:09,293 INFO    MainThread:1302284 [wandb_init.py:init():845] wandb.init called with sweep_config: {}
config: {'in_channels': 6, 'cnn_filters': [32, 64, 128], 'gru_hidden': 256, 'gru_layers': 2, 'embedding_dim': 128, 'window_size': 50, 'hidden_dim': 128, 'num_layers': 2, 'num_classes': 8, 'seq_len': 30, 'batch_size': 128, 'lr': 0.001, 'epochs': 20, 'alpha': 1.0, 'beta': 1.0, 'device': 'cuda', 'processed_dir': 'data/processed_ego4d', 'target_uids_file': 'target_uids.csv', '_wandb': {}}
2025-11-26 18:21:09,293 INFO    MainThread:1302284 [wandb_init.py:init():888] starting backend
2025-11-26 18:21:09,530 INFO    MainThread:1302284 [wandb_init.py:init():891] sending inform_init request
2025-11-26 18:21:09,535 INFO    MainThread:1302284 [wandb_init.py:init():899] backend started and connected
2025-11-26 18:21:09,558 INFO    MainThread:1302284 [wandb_init.py:init():969] updated telemetry
2025-11-26 18:21:09,565 INFO    MainThread:1302284 [wandb_init.py:init():993] communicating run to backend with 90.0 second timeout
2025-11-26 18:21:10,146 INFO    MainThread:1302284 [wandb_init.py:init():1040] starting run threads in backend
2025-11-26 18:21:10,265 INFO    MainThread:1302284 [wandb_run.py:_console_start():2504] atexit reg
2025-11-26 18:21:10,265 INFO    MainThread:1302284 [wandb_run.py:_redirect():2352] redirect: wrap_raw
2025-11-26 18:21:10,265 INFO    MainThread:1302284 [wandb_run.py:_redirect():2421] Wrapping output streams.
2025-11-26 18:21:10,265 INFO    MainThread:1302284 [wandb_run.py:_redirect():2444] Redirects installed.
2025-11-26 18:21:10,267 INFO    MainThread:1302284 [wandb_init.py:init():1080] run started, returning control to user process
2025-11-26 18:33:39,789 INFO    MainThread:1302284 [wandb_run.py:_config_callback():1385] config_cb None None {'train_samples': 163156, 'val_samples': 40790, 'total_samples': 203946, 'num_scenarios': 8}
2025-11-26 18:33:41,152 INFO    wandb-AsyncioManager-main:1302284 [service_client.py:_forward_responses():80] Reached EOF.
2025-11-26 18:33:41,152 INFO    wandb-AsyncioManager-main:1302284 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
